geoid,total_pop,state,county,pctpov,pctpoc,unemplrate,medhhinc,dep_ratio,child_perc,seniorperc,treecanopy,area,source,avg_temp,ua_name,incorpname,congressio,biome,bgpopdense,popadjust,tc_gap,tc_goal,phys_hlth,ment_hlth,asthma,core_m,core_w,core_norm,healthnorm,priority,tes,tesctyscor
"330110001011",2244.000000000000000,NH,Hillsborough County,0.271383788625168,0.111408199643494,0.000000000000000,70474.000000000000000,0.527569775357386,0.205882352941176,0.139483065953654,-1.000000000000000,1.155458000000000,ED,85.202250071134927,"Manchester, NH",Manchester,NH Congressional District 1,Forest,1942.087033886129575,1.200000000000000,0.120183373173235,-1.000000000000000,10.199999999999999,12.300000000000001,10.699999999999999,33.700000000000003,30.699999999999999,0.932142857142857,0.320998677248677,0.273954973638579,91.793951416488198,83.344698334335021
"330110001012",698.000000000000000,NH,Hillsborough County,0.175616835994194,0.078796561604584,0.049504950495050,149219.000000000000000,0.654028436018957,0.224928366762178,0.170487106017192,-1.000000000000000,1.312533000000000,ED,80.584152565135625,"Manchester, NH",Manchester,NH Congressional District 1,Forest,531.796152934821521,1.200000000000000,0.000000000000000,-1.000000000000000,10.199999999999999,12.300000000000001,10.699999999999999,33.700000000000003,30.699999999999999,0.932142857142857,0.320998677248677,0.263182002822923,100.000000000000000,83.344698334335021
"330110001021",3079.000000000000000,NH,Hillsborough County,0.365738758029979,0.218252679441377,0.038366336633663,56250.000000000000000,0.235553772070626,0.106203312763884,0.084443000974342,-1.000000000000000,2.558802000000000,ED,80.767609211665629,"Manchester, NH",Manchester,NH Congressional District 1,Forest,1203.297480617882911,1.200000000000000,0.000000000000000,-1.000000000000000,9.600000000000000,13.000000000000000,10.500000000000000,33.200000000000003,29.899999999999999,0.878887484197219,0.296400111790045,0.258912721809789,100.000000000000000,83.344698334335021
"330110001022",1965.000000000000000,NH,Hillsborough County,0.065139949109415,0.172519083969466,0.024390243902439,96797.000000000000000,0.652649285113541,0.117557251908397,0.277353689567430,-1.000000000000000,1.827431000000000,ED,82.361441807920556,"Manchester, NH",Manchester,NH Congressional District 1,Forest,1075.279996891811606,1.200000000000000,0.030630365797669,-1.000000000000000,9.600000000000000,13.000000000000000,10.500000000000000,33.200000000000003,29.899999999999999,0.878887484197219,0.296400111790045,0.255438875370626,98.049932330808559,83.344698334335021
"330110002021",1689.000000000000000,NH,Hillsborough County,0.352019288728149,0.035523978685613,0.087694483734088,63654.000000000000000,0.816129032258065,0.301953818827709,0.147424511545293,-1.000000000000000,2.676681000000000,ED,81.733212351935492,"Manchester, NH",Manchester,NH Congressional District 1,Forest,631.005338327578102,1.200000000000000,0.000000000000000,-1.000000000000000,12.800000000000001,15.300000000000001,11.800000000000001,28.899999999999999,25.899999999999999,0.548324905183312,0.449291874443976,0.371931167485044,100.000000000000000,83.344698334335021
"330110002022",744.000000000000000,NH,Hillsborough County,0.276881720430108,0.200268817204301,0.000000000000000,54444.000000000000000,0.470355731225296,0.189516129032258,0.130376344086022,-1.000000000000000,0.163654000000000,ED,93.194728232352844,"Manchester, NH",Manchester,NH Congressional District 1,Forest,4546.176689845649889,0.800000000000000,0.222739926918988,-1.000000000000000,12.800000000000001,15.300000000000001,11.800000000000001,28.899999999999999,25.899999999999999,0.548324905183312,0.449291874443976,0.372378877831840,79.327470661265977,83.344698334335021
"330110002031",1399.000000000000000,NH,Hillsborough County,0.318475916606758,0.170121515368120,0.072929542645241,47188.000000000000000,0.429009193054137,0.079342387419585,0.220872051465332,-1.000000000000000,1.038987000000000,ED,79.059782367821398,"Manchester, NH",Manchester,NH Congressional District 1,Forest,1346.503854234942310,1.200000000000000,0.163652442234600,-1.000000000000000,11.100000000000000,13.100000000000000,10.600000000000000,32.399999999999999,28.199999999999999,0.775094816687737,0.315590833801564,0.281539258357493,88.516561249959238,83.344698334335021
"330110002032",2080.000000000000000,NH,Hillsborough County,0.175961538461538,0.218750000000000,0.007363770250368,54712.000000000000000,0.463757916959887,0.083173076923077,0.233653846153846,-1.000000000000000,0.895462000000000,ED,82.716365461847403,"Manchester, NH",Manchester,NH Congressional District 1,Forest,2322.823302384691033,1.000000000000000,0.000000000000000,-1.000000000000000,11.100000000000000,13.100000000000000,10.600000000000000,32.399999999999999,28.199999999999999,0.775094816687737,0.315590833801564,0.253799959902413,100.000000000000000,83.344698334335021
"330110002041",1702.000000000000000,NH,Hillsborough County,0.462984723854289,0.344300822561692,0.015355086372361,50204.000000000000000,0.444821731748727,0.235017626321974,0.072855464159812,-1.000000000000000,0.669181000000000,ED,82.771379255671818,"Manchester, NH",Manchester,NH Congressional District 1,Forest,2543.407538468665280,1.000000000000000,0.016475960913415,-1.000000000000000,9.800000000000001,13.800000000000001,10.400000000000000,31.699999999999999,25.899999999999999,0.648324905183312,0.256409929999532,0.336482711504333,98.618267371152641,83.344698334335021
"330110002042",704.000000000000000,NH,Hillsborough County,0.041193181818182,0.046875000000000,0.000000000000000,57757.000000000000000,0.482105263157895,0.126420454545455,0.198863636363636,-1.000000000000000,1.741441000000000,ED,81.049429658752899,"Manchester, NH",Manchester,NH Congressional District 1,Forest,404.262906409117477,1.200000000000000,0.000000000000000,-1.000000000000000,9.800000000000001,13.800000000000001,10.400000000000000,31.699999999999999,25.899999999999999,0.648324905183312,0.256409929999532,0.159449987224713,100.000000000000000,83.344698334335021
